Chapter;Latin Text;Old High German Text;Biblical References
CXXVIII, 5; Ihesus autem videns quod sapienter respondisset, dixit illi: non es longe a regno dei. Recte respondisti: hoc fac et vives.;Ther heilant thô gisehenti thaz her spâhlihho antlingita, quad imo: ni bis thû uerro fon gotes rîhhe. Rehto antlingitus: thaz tuo inti lebes.;"Mc 12 34; Lc 10 28"
CXXVIII, 6; Ille autem volens iustificare se ipsum dixit ad Ihesum: et quis est meus proximus?;Her uuolta thô rehtfestigon sih selbon, quad zi themo heilante: uuer ist mîn nahisto?;Mc 12 29
CXXVIII, 7; Suscipiens autem Ihesus dixit: homo quidam descendebat ab Hierusalem in Hiericho et incidit in latrones, qui etiam despoliaverunt eum, et plagis inpositis abierunt semivivo relicto.;Inphieng thô ther heilant inti quad: sum man steig nidar fon Hierusalem in Hiericho inti anagifiel in thioba, thie giuuesso biroubotun inan, inti vvuntun anagitanen giengun samiquekemo furlâzanemo.;Mc 12 30
CXXVIII, 8;Accidit autem ut sacerdos quidam descenderet eadem via, et viso illo praeterivit.  Similiter et levita, cum esset secus locum et videret eum, transiit.;Giburita thô thaz sum biscof nidarsteig in themo selben uuege, inti imo gisehanemo furifuor. Sama teta thie ambaht: mit thiu her uuas nah thero steti inti gisah inan, furifuor.;Mc 12 31-32
CXXVIII, 9;Samaritanus autem quidam transiens venit secus eum, et videns eum misericordia motus est,  et adpropians alligavit vulnera eius infundens oleum et vinum, et inponens illum in iumentum suum duxit in stabulum et curam eius egit.  Et altera die protulit duos denarios et dedit stabulario et ait: curam illius habe, et quodcumque supererogaveris ego cum rediero reddam tibi.;Andero thioto sum farenti quam nah imo, inti inan gisehenti uuard miltida giruorit, inti sih nahenti bant sina vvuntun, gôz thara ana oli inti uuîn, inti ûfsezenti inan in sîn nôz, leitta inan in sines staluuirtes hûs inti habeta sîn suorgun. Andares tages brâhta zuene phendinga, gab themo staluuirte inti quad: habe sîn suorgun, inti só uuaz thu thînes zuogituos, thanne ih uuidaruuirbu, giltu thir.;Mc 12 33-34
CXXVIII, 10;Quis horum trium videtur tibi proximus fuisse illi qui incidit in latrones?  At ille dixit: qui fecit misericordiam in illum. Et ait illi Ihesus: vade et tu fac similiter.;Uuelih thero thriio ist thir gisehan nahisto uuesan themo thie thar gifiel in thie thioba? Thô quad her: thie thar teta miltida in imo. Thô quad imo ther heilant: far thu inti tuo selbsama.;Mc 12 36-37
CXXIX, 1;"Et erat docens cotidie in templo. Principes autem sacerdotum et scribae et principes plebis quaerebant illum perdere,  et non inveniebant quid facerent illi; omnis enim populus suspensus erat audiens illum.";Inti her uuas lêrenti gitago in themo tempale. Thie heriston thero heithaftono manno inti buohhara inti thie heriston thes folkes suohtun inan zi furliosenne, inti ni fundun uuaz sie imo tâtin: al thaz folc funs uuas horenti inan.;Lc 19 47-48
CXXIX, 2; Audierunt Pharisæi turbam murmurantem de illo hæc, et miserunt principes et Pharisaei ministros, ut adprehenderent eum.;"Gihortun thie Pharisæi thie menigi murmuronte fon imo thisu; santun thô thie heriston inti thie Pharisæi ambahta, thaz sie inan gifiengin.";Jn 7 32
CXXIX, 3;Dixit ergo Ihesus: adhuc modicum tempus vobiscum sum et vado ad eum qui me misit.  Quæritis me et non invenietis, et ubi sum ego vos non potestis venire.;Thô quad ther heilant: noh nu luzila stunta bim ih mit íu, inti ih faru zi themo thie mih santa. Ir suohhet mih inti ni findet, inti thâr ih bim thara ni mugut ir queman.;Jn 7 33-34
CXXIX, 4;Dixerunt ergo Iudæi ad se ipsos: quo hic iturus est, quia non inveniemus eum? numquid in dispersionem gentium iturus est et docturus gentes?  Quis est hic sermo quem dixit: quæritis me et non invenietis, et ubi sum ego vos non potestis venire?;Thô quadun thie Iudon zi in selbon: uuara ferit theser, thaz uuir in ni findemes? noh er in thie spreitnessi thiotono ferit inti lêrit thiota? Uuaz uuorto ist thiz thaz her quad: ir suohhet mih inti ni findet, inti thâr ih bim thara ni mugut ir quemen?;Jn 7 35-36
CXXIX, 5;In novissimo autem die magnæ festivitatis stabat Ihesus et clamabat dicens: qui sitit veniat ad me et bibat!  Qui credit in me, sicut dicit scriptura, flumina de ventre eius fluent aquæ vivæ.;In themo iungisten tage mihhilero itmali stuont ther heilant inti riof sus quedanti: then thie thurste ther queme zi mir, thaz her trinke! Ther in mih giloubit, so giscrib quidit, fluzzi fon sinero uuambu fliozent lebentes uuazares.;Jn 7 37-38
CXXIX, 6; Hoc autem dixit de spiritu quem accepturi erant credentes in eum: non enim erat spiritus datus, quia Ihesus nondum fuerat glorificatus.;Thaz quad her fon themo geiste then sie inphahente uuârun giloubente in inan: ni uuas thie geist gigeban, uuanta ther heilant ui uuas noh thanne gidiurisot.;Jn 7 39
CXXIX, 7;Ex illa ergo turba cum audissent hos sermones eius dicebant: hic est vere propheta.  Alii dicebant: hic est Christus. Quidam autem dicebant: numquid a Galilea Christus venit?  Nonne dicit scriptura, quia ex semine David et de Bethleem castello, ubi erat David, venit Christus?  Dissensio itaque facta est in turba propter eum.;Fon thero menigi uuârlihho, mit thiu sie gihôrtun thiu sinu uuort, quâdun: thiz ist zi uuâre uuîzago. Andare quâdun: thiz ist Christ. Sume quâdun: eno ni quimit Christ fon Galileu? Ia quidit giscrip, uuanta fon sâmen Dauides inti fon thero burgilun Bethleem, thâr Dauid uuas, quimit Christ. Messezumft uuas giuuesso in thero menigi thuruh inan.;Jn 7 40-41
CXXIX, 8;Venerunt ergo ministri ad pontifices et Pharisæos, et dixerunt eis illi: quare non adduxistis illum?  Responderunt ministri: numquam sic locutus est homo sicut hic homo.;Quamun thô thie ambahta zi then biscofun inti zi then Pharisæin, inti quâdun sie in: bihiu ni gileittut ir inan? Thô antlingitun thie ambahta: nio in altere sprah só man só these man.;Jn 7 45-46
CXXIX, 9;Responderunt ergo eis Pharisæi: numquid et vos seducti estis?  Numquid aliquis ex principibus credidit in eum aut ex Pharisæis?  Sed turba hæc quæ non novit legem maledicti sunt.;Thô antlingitun in thie Pharisæi: eno ni birut ir furleitte? Eno ni ening fon then heriston giloubta in inan odo fon then Pharisæis? Ouh thisu menigi thiu thar ni uueiz euua ist furuuergit.;Jn 7 47-48
CXXIX, 10;Dicit Nicodemus ad eos, ille qui venit ad eum nocte, qui unus erat ex ipsis:  numquid lex nostra iudicat hominem, nisi audierit ab ipso prius et cognoverit quid faciat?;Thô quad Nicodemus zi in, thie thar quam zi imo nahtes, ther uuas ein fon then: eno unsar euua tuomit siu man, nibi gihore fon imo ér inti furstante uuaz her tuo?;Jn 7 50-51
CXXIX, 11; Responderunt et dixerunt ei: numquid et tu Galileus es? Scrutare et vide quia propheta a Galilea non surgit.;Thô antlingitun sie inti quadun imo: eno ni bistu Galileus? Scruto inti gisih thaz uuîzago fon Galileu ni arstentit.;Jn 7 52
CXXX, 1;Congregatis autem Pharisæis interrogavit eos Ihesus  dicens: quid vobis videtur de Christo? cuius filius est? Dicunt ei: David.;Gisamanoten then Pharisein frageta sie ther heilant sus quedanti: uuaz ist íu gisehan fon Christe? uues sun ist her? Thô quadun sie imo: Dauides.;Mt 22 41-42
CXXX, 2;Ait illis: quomodo ergo David in libro psalmorum vocat eum dominum dicens:  dixit dominus domino meo: sede a dextris meis, donec ponam inimicos tuos scabillum pedum tuorum.  Si ergo David  in spiritu  vocat eum dominum, quomodo filius eius est?;Thô quad her in: vvuo Dauid in buohhe selmo nemnit inan truhtin sus quedanti: quad truhtin zi mînemo truhtine: sizzi zi mînero zesavvun, unz ih gisezzu thîne fiianta untar scamal thînero fuozo. Oba Dauid uuârlihho in geiste nemnit inan truhtin, vvuo ist her sîn sun?;"Mt 22 43-44; Lc 20 42"
CXXX, 3; Et nemo poterat respondere ei verbum, neque ausus fuit quisquam ex illa die eum amplius interrogare.;Inti nioman mohta antlingen imo uuort, noh giturstig uuas eining fon themo tage inan elihor fragen.;Mt 22 46
CXXXI, 1; Iterum locutus est eis Ihesus dicens: ego sum lux mundi. Qui sequitur me non ambulat in tenebris, sed habebit lucem vitæ.;Abur sprah in ther heilant sus quedanti: ih bim lioht mittiligartes. Thie mir folget ni gêt in finstarnessin, ouh habet lioht libes.;Jn 8 12
CXXXI, 2; Dixerunt ei Pharisæi: tu de te ipso testimonium perhibes: testimonium tuum non est verum.;Thô quadun imo thie Pharisei: thû fon thir selbemo giuuiznessi sages: thîn giuuiznes nist uuâr.;Jn 8 13
CXXXI, 3; Respondit Ihesus et dixit eis: et si ego testimonium perhibeo de me ipso, verum est testimonium meum, quia scio unde veni et quo vado: vos autem nescitis unde venio aut quo vado.;Thô antlingita ther heilant inti quad in: inti oba ih giuuiznessi sagen fon mir selbemo, uuâr ist mîn giuuiznessi, uuanta ih uueiz uuanan ih quam inti uuara ih faru: ir ni uuizut uuanan ih quimu odo uuara ih faru.;Jn 8 14
CXXXI, 4;Vos secundum carnem iudicatis, ego non iudico quemquam.  Et si iudico ego, iudicium meum verum est, quia solus non sum, sed ego et qui misit me pater.;Ir after fleiske tuomet, ih ni tuomu niomannen. Oba ih tuomu, mîn tuom ist thanne uuâr, uuanta ih eino ni bim, ouh ih inti thie mih santa, ther fater.;Jn 8 15-16
CXXXI, 5;Et in lege vestra scriptum est: duorum hominum testimonium verum est.  Ego sum qui testimonium perhibeo de me ipso, et testimonium perhibet de me qui misit me pater.;Inti in íuuaru éuuu ist giscriban: zueiero manno giuuiznessi ist uuâr. Ih bim thie giuuiznessi sagen fon mir selbemo, inti giuuiznessi saget fon mir ther mih santa, thie fater.;Jn 8 17-18
CXXXI, 6;Dicebant ergo ei: ubi est pater tuus? Respondit Ihesus: neque me scitis neque patrem meum: si me sciretis, forsitan et patrem meum sciretis.  Ego vado et quæritis me et in peccato vestro moriemini. Quo ego vado vos non potestis venire.;Thô quadun sie imo: uuâr ist thîn fater? Thô antlingita ther heilant: noh ir mih ni uuizut noh minan fater: oba ir mih uuestit, odouuân ir mînan fater uuestit. Ih faru inti ir suohhet mih inti in íuuaru suntu arsterbet ir. Thara ih faru thara ni mugut ir quemen.;Jn 8 19-20
CXXXI, 7; Dicebant ergo Iudæi: numquid interficiet semetipsum, quia dicit: quo ego vado vos non potestis venire?;Thô quadun thie Iudæi: eno ni arslehit her sih selbon, uuanta her quidit: thara ih faru, ir ni mugut thara quemen?;Jn 8 22
CXXXI, 8;Et dicebat eis: vos de deorsum estis, ego de supernis sum. Vos de mundo hoc estis, ego non sum de hoc mundo.  Dixi ergo vobis quia moriemini in peccatis vestris: si enim non credideritis quia ego sum, moriemini in peccato vestro.;Thô quad her in: ir birut fon nidana, ih bim fon then ûflihhun. Ir birut fon derro uueralti, ih ni bim fon therro uueralti. Ih quidu íu thaz ir arsterbet in íuuaren suntun: oba ir ni giloubet thaz ih bim, thanne arsterbet ir in íuuaro suntu.;Jn 8 23-24
CXXXI, 9;Dicebant ergo ei: tu quis es? Dixit eis Ihesus: principium, qui et loquor vobis.  Multa habeo de vobis loqui et iudicare. Sed qui misit me verax est, et ego quæ audivi ab eo hæc loquor in mundo.;Thô quadun sie imo: uuer bistu? Thô quad in ther heilant: anagin, thaz íh íu sprihhu. Managu haben ih fon íu zi sprehhanne inti zi tuomenne. Ouh ther mih santa ther ist uuâr, inti thiu ih gihorta fon imo thiu sprihhu ih in mittiligarte.;Jn 8 25-26
CXXXI, 10; Et non cognoverunt quia patrem eis dicebat deum.;Inti sie ni furstuontun thaz her then fater in quad got.;Jn 8 27
CXXXI, 11;Dixit ergo eis Ihesus: cum exaltaveritis filium hominis, tunc cognoscetis quia ego sum et a me ipso facio nihil, sed sicut docuit me pater, hæc loquor.  Et qui me misit mecum est: non relinquit me solum, quia ego quæ placita sunt ei facio semper.;Tho quad in ther heilant: mit thiu ir arheuet then mannes sun, thanne furstantet ir iz thaz ih iz bim inti fon mir selbemo niouuiht tuon, ouh so mih lérta thie fater, thiu sprihhu ih. Inti thie mih santa ther ist mit mir: her ni furlazit mih einon, uuanta ih thiu imo lihhent tuon simbolum.;Jn 8 28-29
CXXXI, 12;Hæc illo loquente multi crediderunt in eum.  Dicebat ergo Ihesus ad eos qui crediderunt ei Iudæos: si vos manseritis in sermone meo, vere discipuli mei eritis  et cognoscetis veritatem et veritas liberavit vos.;Thisu imo sprehhentemo manage giloubtun in inan. Tho quad ther heilant zi then thie imo giloubtun Iudon: oba ir uuonet in minemo uuorte, zi uuare birut ir thanne mine iungiron inti ir furstantet thanne uuar inti uuar arlósta iuuih.;Jn 8 30-31
CXXXI, 13; Responderunt ei: semen Abrahæ sumus et nemini servivimus umquam: quomodo tu dicis: liberi eritis?;Thô antlingitun sie imo: uuir birun Abrahames samo inti niomanne thionotumes ío in altere: vvuo quidistu: ir birut frige?;Jn 8 33
CXXXI, 14;Respondit eis Ihesus: amen amen dico vobis, quia omnis qui facit peccatum servus est peccati.  Servus autem non manet in domo in aeternum: filius manet in æternum.;Thô antlingita in ther heilant: uuâr uuâr quidu ih iú, bithiu allero giuuelih thie sunta tuot ther ist suntun scalc. Scalc ni uuonet in húse zi éuuidu: ther sun uuonet zi éuuidu.;Jn 8 34-35
CXXXI, 15;Si ergo filius vos liberaverit, vere liberi eritis.  Scio quia filii Abrahæ estis: sed quæritis me interficere, quia sermo meus non capit in vobis.  Ego quod vidi apud patrem loquor, et vos quæ vidistis apud patrem vestrum facitis.;Oba ther sun iúuih arlosit, thanne birut ir uúarlihho frige. Ih uueiz thaz ir Abrahames barn birut: ouh ir suohhet mih zi arslahenne, uuanta min uuort ni bifahit in iú. Thaz ih gisah mit minemo fater thaz sprihhu ih, inti ir thiu ir gisahut mit fater íuuuaremo thaz tuot ir.;Jn 8 36-37
CXXXI, 16;Responderunt et dixerunt ei: pater noster Abraham est. Dicit eis Ihesus: si filii Abrahæ estis, opera Abrahæ facite.  Nunc autem quæritis me interficere, hominem qui veritatem vobis locutus sum quam audivi a deo: hoc Abraham non fecit.;Thó antlingitun sie inti quadun imo: unser fater ist Abraham. Thó quad in ther heilant: oba ir Abrahames kind sit, thanne tuot ir uuerc Abrahames. Nu suohhet ir mih zi arslahenne, man ther íu uuâr sprah, thiu ih gihorta fon gote: thaz ni teta Abraham.;Jn 8 39-40
CXXXI, 17; Vos facitis opera patris vestri. Dixerunt itaque ei: nos ex fornicatione non sumus nati: unum patrem habemus, deum.;Ir tuot iúuares fater uuerc. Tho quadun sie imo: uuir ni birumes fon huore giborane: einan fater haben uuir, got.;Jn 8 41
CXXXI, 18;Dixit ergo eis Ihesus: si deus pater vester esset, diligeritis utique me. Ego enim ex deo processi et veni, neque enim ex me ipso veni, sed ille me misit.  Quare loquellam meam non cognoscitis? quia non potestis audire sermonem meum.;Tho quad in ther heilant: oba got iúuar fater uuari, thanne minnotit ir mih. Ih fon gote framgieng inti quam, noh ih fon mir selbemo ni quam, oh her mih santa. Bithiu ni furstantet ir mina sprahha, uuanta ir ni mugut gihóren mîn uuort.;Jn 8 42-43
CXXXI, 19; Vos ex patre diabulo estis et desideria patris vestri vultis facere. Ille homicida erat ab initio et in veritate non stetit, quia non est veritas in eo: cum loquitur mendacium, ex propriis loquitur, quia mendax est et pater eius.;Ir birut fon fater diuuale inti lusta iúuares fater uuollet ir tuon. Ther uuas manslago fon anaginne inti in uuare ni gistuont, uuanta nist uúar in imo: mit thiu her sprihhit lugina, fon sinen eiganen sprihhit, uuanta her luggi ist inti sín fater.;Jn 8 44
CXXXI, 20;"Ego autem quia veritatem dico, non creditis mihi.  Quis ex vobis arguit me de peccato? Si veritatem dico, quare vos non creditis mihi?  Qui est ex deo verba dei audit; propterea vos non auditis, quia ex deo non estis.";"Ih uuârlihho uuanta ih uuâr quidu, ni giloubet ir mir. Uuer fon eu thuuengit mih fon suntun? Ob ih uuâr quidu, bihiu ni giloubet ir mir? Ther fon gote ist ther horit gotes uuort; bithiu ni gihoret ir, uuanta ir fon gote ni birut.";Jn 8 45-46
CXXXI, 21; Responderunt igitur Iudæi et dixerunt ei: nonne bene dicimus nos quia Samaritanus es tu et demonium habes?;Thô antlingitun thie Iudæi inti quadun imo: eno ia queden uuir uuola uuanta Samaritanisc bistu in diuual habes?;Jn 8 48
CXXXI, 22;Respondit Ihesus: ego demonium non habeo, sed honorifico patrem meum et vos inhonorastis me.  Ego autem non quæro gloriam meam: est qui quærat et iudicet.  Amen amen dico vobis, si quis sermonem meum servaverit, mortem non videbit in æternum.;Thó antlingita ther heilant: ih ni haben diuual, uzouh ih éru minan fater inti ir intéret mih. Ih ni suohhu mina diurida: ther ist ther suohhit inti tuomit. Uuâr uuâr quidu ih iú, so uuer so mîn uuort biheltit, tôd ni gisihit her zi éuuidu.;Jn 8 49-50
CXXXI, 23;Dixerunt ergo Iudaei: nunc cognovimus quia demonium habes: Abraham mortuus est et prophetæ, et tu dicis: si quis sermonem meum servaverit, non gustavit mortem in æternum.  Numquid tu maior es patre nostro Abraham, qui mortuus est? et prophetæ mortui sunt. Quem te ipsum facis?;Thó quadun thie Iudaei: nu furstantemes thaz thú diuual habes: Abraham ist tót inti uuizagon, inti thu quidis: so uuer mîn uuort biheltit ni gicorot todes zi êuuidu. Noh thû mero bist unsaremo fater Abrahame, thie thar tôt ist, inti uuîzagon sint ouh tote. Uuen tuos thu thih selbon?;Jn 8 52-53
CXXXI, 24;"Respondit Ihesus: si ego glorifico me ipsum, gloria mea nihil est: est pater meus qui glorificat me, quem vos dicitis quia deus noster est,  et non cognovistis eum; ego autem novi eum, et si dixero quia non scio eum, ero similis vobis mendax; sed scio eum et sermonem eius servo.  Abraham pater vester exultavit ut videret diem meum, et vidit et gavisus est.";"Thô antlingita ther heilant: ob ih diurison mih selbon, thanne min diurida niouuiht ist: ist mîn fater thie mih diurit, then quedet ir thaz her îuuar got si, inti ir ni furstuontut inan; ih uuârlihho uueiz inan, inti ob ih quidu thaz ih inan ni uuizzi, thanne bim îu gilih luggi; uzouh ih uueiz inan inti sín uuort bihaltu. Abraham îuuar fater gifah thaz her gisah minan tag, inti her sah inti gifah.";Jn 8 54-55
CXXXI, 25;Dixerunt ergo Iudei ad eum: quinquaginta annos nondum habes et Abraham vidisti?  Dixit eis Ihesus: amen amen dico vobis, antequam Abraham fieret, ego sum.;Tho quadun thie Iudei zi imo: finfzug iaro noh ni habes, vvuo gisahi thu Abrahaman? Tho quad in ther heilant: uuâr uuâr quidu ih îu, er thanne Abraham uuari, er bim ih.;Jn 8 57-58
CXXXI, 26; Tulerunt ergo lapides ut iacerent in eum. Ihesus autem abscondit se et exivit de templo.;Tho namun sie steina thaz sie vvurphin in inan. Her tho barg sih inti gienc uz fon themo tempale.;Jn 8 59
CXXXII, 1;Et præteriens vidit hominem cecum a nativitate.  Et interrogaverunt eum discipuli eius: rabbi, quis peccavit, hic aut parentes eius, ut cæcus nasceretur?;Furfarenti gisah man blintan fon giburti. Inti fragetun inan sine iungiron: meistar, uuer suntota, these odo sine eldiron, thaz her blint vvurdi giboran?;Jn 9 1-2
CXXXII, 2; Respondit Ihesus: neque hic peccavit neque parentes eius, sed ut manifestetur opus dei in illo.;Thó antlingita ther heilant: noh theser suntota noh sine eldiron, uzouh thaz vvurdi arougit gotes uuerc in imo.;Jn 9 3
CXXXII, 3;Me oportet operari opera eius qui misit me, donec dies est: venit nox, quando nemo potest operari.  Quamdiu in mundo sum, lux sum mundi.;Mih gilimphit uuirkan sinu uuerc thie mih santa, unz iz tag ist: quimit naht, thanne nioman mag uuirkan. So lango so ih in mittiligarte bim, so bim ih lioht mittiligartes.;Jn 9 4-5
CXXXII, 4;Hæc cum dixisset, expuit in terram et fecit lutum ex sputo et levit lutum super oculos eius  et dixit ei: vade, lava in natatoria Siloæ, quod interpraetatur missus. Abiit ergo et lavit et venit videns.;Mit thiu her thisu quad, speo in erda inti teta leimon fon speihhaltrun inti salbota then leimon ubar sinu ougun inti quad imo: far inti uuasc thih in themo uuazare Siloe, thaz ist arrekit gisentit. Fuor her thô inti vvuosc sih inti quam gisehenti.;Jn 9 6-7
CXXXII, 5;Itaque vicini et qui videbant eum prius, quia mendicus erat, et dicebant, nonne hic est qui sedebat et mendicabat? Alii dicebant, quia hic est,  alii autem: nequaquam, sed similis est eius. Ille autem dicebat: quia ego sum.;Giuuesso thie nahiston inti thie inan er gisahun, thaz her betalari uúas, quadun: eno ni ist thiz ther thie thar sáz inti betolata? Andere quadun: her ist íz, andere quadun: nist, úzouh hér ist imo gilih. Her uvarlihho quad: ih bim íz.;Jn 9 8-9
CXXXII, 6;Dicebant ergo ei: quomodo aperti sunt oculi tibi?  Respondit: ille homo qui dicitur Ihesus lutum fecit et unxit oculos meos et dixit mihi: vade ad natatoriam Siloæ et lava! Et abii et lavi et vidi.;Thó quadun sie imo: vvuo sint thir thiu ougun íntanu? Tho antlingita her: ther man thie dar ist giquetan heilant, her teta leimon inti salbota minu ougun inti quad mír: fár zi themo uúazare Siloe inti uúasc thih! Inti ih fuor inti vvuosc inti gisah.;Jn 9 10-11
CXXXII, 7;Dixerunt ei: ubi est ille? Ait: nescio.  Adducunt eum ad Pharisæos qui cæcus fuerat.  Erat autem sabbatum, quando lutum fecit Ihesus et aperuit oculos eius.;Tho quadun sie imo: uúar ist hér? Tho quad hér: ni uúeiz. Tho leittun sie thén zi then Pharisein thie thar blint uúas. Thó uuas sambaztag, tho then leimon teta ther heilant inti aroffonota sinu ougun.;Jn 9 12-13
CXXXII, 8; Iterum ergo interrogabant eum Pharisæi quomodo vidisset. Ille autem dixit eis: lutum posuit mihi super oculos, et lavi et video.;Abur fragetun ín thie Pharisei vvuo hér gisahí. Tho quad her ín: leimon teta hér mir ubar minu ougun, inti ih vvuosc inti gisah.;Jn 9 15
CXXXII, 9; Dicebant ergo ex Pharisæis quidam: non est hic homo a deo, quia sabbatum non custodit. Alii dicebant: quomodo potest homo peccator haec signa facere? Et scisma erat in eis.;Quadun uuarlicho fon den Pharisæis sume: nist these man fon gote, bithiu uuanta sambaztag ni biheltit. Anthere quadun: vvuo mag suntig man thisiu zeihan duon? Inti gisliz uuas in in.;Jn 9 16
CXXXII, 10; Dicunt ergo caeco iterum: tu quid dicis de eo qui aperuit oculos tuos? Ille autem dixit: quia propheta est.;Tho quadun sie themo blinten abur: thu uuaz quidist fon demo thie thir inteta thiniu ougun? Her quad tho: uuanta her uuizago ist.;Jn 9 17
CXXXII, 11;Non crediderunt ergo Iudaei de illo quia caecus fuisset et vidisset, donec vocaverunt parentes eius qui viderant,  et interrogaverunt eos dicentes: hic est filius vester, quem vos dicitis quia cæcus natus est? quomodo ergo nunc videt?;Ni giloubtun thie Iudæi fon imo thaz her blint uuari inti gisahi, unz sie gihalotun sine eldiron thiez gisahun, inti fragetun sie sus quedente: ist theser iúer sun, then ir quedet thaz er blint giboran uvari? vvuo sihit her thanne nu?;Jn 9 18-19
CXXXII, 12;Responderunt eis parentes eius et dixerunt: scimus quia hic est filius noster et quia caecus natus est:  quomodo autem nunc videat nescimus, aut quis eius aperuit oculos nos nescimus: ipsum interrogate: aetatem habet, ipse de se loquatur.;Tho antlingitun in sine elthiron inti quadun: uuir uuizun thaz theser ist unser sun inti thaz her blint giboran ist: thanne vvuo her nu gisehe ni uuizunmes, odo uúer gioffonoti sinu ougun uúir ni uuizunmes: inan fraget: altar habet, her sprehe fon imo selbemo.;Jn 9 20-21
CXXXII, 13;Haec dixerunt parentes eius, quia timebant Iudaeos: iam enim conspiraverant Iudaei, ut si quis eum confiteretur Christum, extra synagogam fieret.  Propterea parentes eius dixerunt: quia aetatem habet, ipsum interrogate.;Thiz quadun sine eldiron, uuanta sie forhtun thie Iudeon: iu tho gieinotun sih thie Iudaei, oba uúer inan Christ biiachi, uz fon theru samanungu uuari. Bithiu sine eldiron quadun: bithiu uuanta her altar habet, in selbon fraget.;Jn 9 22-23
CXXXII, 14; Vocaverunt ergo rursum hominem qui fuerat coecus et dixerunt ei: da gloriam deo, nos scimus quia hic homo peccator est.;Gihalotun then man abur ther blint uuas inti quathun imo: gib gote diurida, uuir uuizumes thaz these man suntig ist.;Jn 9 24
CXXXII, 15;Dixit ergo ille: si peccator est nescio: unum scio, quia coecus cum essem, modo video.  Dixerunt ergo illi: quid fecit tibi? quomodo aperuit tibi oculos?;Tho quad her: oba her suntig ist ni uueiz: ein uueiz ih: mit diu ih blint uuas, nu gisihu. Tho quadun sie imo: uuaz teta her thir? vvuo inteta her thinu ougun?;Jn 9 25-26
CXXXII, 16; Respondit eis: dixi vobis iam, et audistis: quid iterum vultis audire? numquid et vos vultis discipuli eius fieri?;Tho antlingita in: ih quad iú iu, inti ir gihortut: uúaz uuollet ír abur gihoren? uuellet ir iungiron sine uuesan?;Jn 9 27
CXXXII, 17;Maledixerunt ei et dixerunt: tu discipulus illius sis, nos autem Moysi discipuli sumus.  Nos scimus quia Moysi locutus est deus, hunc autem nescimus unde sit.;Tho fluochotun sie imo inti quadun: thu sís sín iungiro, uuir birumes Moyseses iungiron. Uuír uuizumes thaz Moysese spráh got: thesan ni uuizuuuir uuanan her ist.;Jn 9 28-29
CXXXII, 18;Respondit ille homo et dixit eis: in hoc enim mirabile est quia vos nescitis unde sit, et aperuit meos oculos!  Scimus autem quia peccatores deus non audit, sed si quis dei cultor est et voluntatem eius facit, hunc exaudit.;Tho antlingita der man inti quad in: in thiu ist vvuntar thaz ir ni uuizit uuanan her si, inti inteta minu ougun! Uuir uuizumes uuárlicho daz suntige got ni gihorit, oh oba uuer gotes bigengiri ist inti sinan uuillon tuot, then gihorit.;Jn 9 30-31
CXXXII, 19;A saeculo non est auditum quia aperuit quis oculos coeci nati.  Nisi esset hic a deo, non poterat facere quicquam.;Fon uuerelti ni uuard gihorit thaz uúer gioffanoti ougun blint giboranes. Ni uúari dese fon gote, ni mohti tuon thes íouuiht.;Jn 9 32-33
CXXXII, 20; Responderunt et dixerunt ei: in peccatis natus es totus, et tu doces nos? et eiecerunt eum foras.;Thó antlingitun sie inti quadun imo: in sunton bist al giboran, inti thu leris unsih? inti vvurpfun in úz.;Jn 9 34
CXXXIII, 1;Audivit Ihesus quia eiecerunt eum foras, et cum invenisset eum, dixit ei: tu credis in filium dei?  Respondit ille et dixit: quis est, domine, ut credam in eum?;"Gihorta ther heilant thaz sie in úzvvurpfun; mit diu er in uant, quad imo: thu giloubis in den gotes sun? Tho antlingita er inti quad: uuer ist iz, trohtin, inti ih giloubu in inan?";Jn 9 35-36
CXXXIII, 2;Et dixit ei Ihesus: et vidisti eum, et qui loquitur tecum, ipse est.  At ille ait: credo, domine, et procidens adoravit eum.;Tho quad imo ther heilant: thu gisahi inan, inti ther mit dír sprihhit, ér ist iz. Tho quad er imo: giloubu, trohtin, inti nidarfallenti betota inan.;Jn 9 37-38
CXXXIII, 3; Et dixit ei Ihesus: in iudicium ego in hunc mundum veni, ut qui non vident videant et qui vident caeci fiant.;Tho quad imo ther heilant: in duom quam ih in thesa uueralt, thaz thie dar ni gisehent gisehen in thie dar gisehent, daz sie sin blinte.;Jn 9 39
CXXXIII, 4; Et audierunt ex Phariseis qui cum ipso erant, et dixerunt ei: numquid et nos caeci sumus?;Inti gihortun fon then Fariseis thie mit imo uuarun, inti quadun imo: eno nu birun uúir blinte?;Jn 9 40
CXXXIII, 5;" Dixit eis Ihesus: si coeci essetis, non haberetis peccatum; nunc vero dicitis: quia vidimus: peccatum vestrum manet.";"Tho quad in ther heilant: ob ir blinte uúarit, thanne ni habetit ír sunta; nu quedet ir: uuir gisehemes: iúuuer sunta uuonet.";Jn 9 41
